feature,correlation,abs_correlation,p_value
player_avg_points_l10,0.6500898747536571,0.6500898747536571,0.0
player_avg_points_l5,0.6283679226442926,0.6283679226442926,0.0
usage_rate_clean,0.6032850749244814,0.6032850749244814,0.0
player_avg_usage_l10,0.6032850749244814,0.6032850749244814,0.0
player_avg_usage_l5,0.5850599971546551,0.5850599971546551,0.0
player_avg_min_l10,0.49959346878626815,0.49959346878626815,0.0
player_avg_tov_l10,0.49706774778448576,0.49706774778448576,0.0
player_avg_ast_l10,0.43530449267927174,0.43530449267927174,0.0
player_avg_ast_l5,0.41986773760102986,0.41986773760102986,0.0
player_avg_reb_l10,0.24413936002893422,0.24413936002893422,0.0
player_avg_reb_l5,0.23326182891317362,0.23326182891317362,0.0
player_avg_fg3_l10,0.14325921717719262,0.14325921717719262,5.226511314047012e-235
player_avg_ts_l10,0.11262843204118521,0.11262843204118521,1.787724487043232e-145
player_avg_pm_l10,0.10007110366492568,0.10007110366492568,4.1306564535461875e-115
player_avg_ts_l5,0.08392974545984186,0.08392974545984186,2.0093990139152603e-81
player_avg_fg_l10,0.07384570343020962,0.07384570343020962,2.0993759933254463e-63
team_off_rating,0.03807566842628429,0.03807566842628429,4.793763955982944e-18
opp_def_rating,0.030045508772183448,0.030045508772183448,8.418928649377182e-12
opp_pace,0.023036572307942788,0.023036572307942788,1.630558808519296e-07
pace_factor,0.023036572307942784,0.023036572307942784,1.630558808519296e-07
usage_momentum,0.01762705074492787,0.01762705074492787,6.145793108131588e-05
points_momentum,0.017482515108209664,0.017482515108209664,7.059255515118109e-05
is_home,0.010471670001835498,0.010471670001835498,0.017294048591939948
off_environment,0.006792313898674212,0.006792313898674212,0.12259109440178076
ts_momentum,-0.005488194853340006,0.005488194853340006,0.21219993641123944
is_playoff,0.0044941888485681356,0.0044941888485681356,0.3069769866480512
player_avg_efg_l10,,,
player_avg_oreb_pct_l10,,,
player_avg_dreb_pct_l10,,,
player_avg_ast_pct_l10,,,
player_avg_net_rating_l10,,,
player_avg_off_rating_l10,,,
