feature,importance
player_avg_points_l10,0.7620712736205395
player_avg_points_l5,0.11007846837188676
usage_rate_clean,0.035944710189046915
player_avg_usage_l10,0.033561228526927445
player_avg_min_l10,0.0172678787953423
player_avg_usage_l5,0.011356089499829214
player_avg_ts_l10,0.004676346100656709
opp_def_rating,0.004188901905039626
player_avg_fg3_l10,0.0031358953519002386
player_avg_ast_l10,0.0028682120951738508
player_avg_ts_l5,0.001896889735745635
player_avg_fg_l10,0.0018510108343596384
pace_factor,0.0017464754345793405
opp_pace,0.0016388300709213094
player_avg_ast_l5,0.0015230620661382242
player_avg_pm_l10,0.0010099012895015364
player_avg_reb_l5,0.000980919841891479
off_environment,0.0009607892337402837
points_momentum,0.000950703837968247
player_avg_tov_l10,0.0006824884957579269
player_avg_reb_l10,0.00048751247500729755
team_off_rating,0.00048292644028174195
usage_momentum,0.0002476303058449756
ts_momentum,0.0001563657157253349
is_playoff,0.0001558377927779446
is_home,7.965197341640708e-05
player_avg_efg_l10,0.0
player_avg_oreb_pct_l10,0.0
player_avg_dreb_pct_l10,0.0
player_avg_ast_pct_l10,0.0
player_avg_net_rating_l10,0.0
player_avg_off_rating_l10,0.0
