feature,importance,std
player_avg_points_l10,0.34308252218027313,0.002531305316964557
player_avg_points_l5,0.015025642843872321,0.000411727083264027
player_avg_min_l10,0.010324501459511493,0.00038422365372633093
usage_rate_clean,0.009025144532294471,0.0004283419461065054
player_avg_usage_l10,0.0072552605886400555,0.00031235358545100877
player_avg_usage_l5,0.0032112464359018377,0.00022602990655733253
opp_def_rating,0.0025369591666904332,0.00019134089455789246
player_avg_fg3_l10,0.001572520197340188,0.00013503034033353646
player_avg_ts_l10,0.0012050265218557787,7.868303234088516e-05
player_avg_ast_l10,0.001077005498055128,6.739064027567564e-05
pace_factor,0.0007849008931500757,5.439698436736908e-05
player_avg_ts_l5,0.0007804873755224539,8.413316069734772e-05
player_avg_fg_l10,0.0007531968253476462,8.967707310025017e-05
opp_pace,0.0007515022543415961,4.5262611778237635e-05
player_avg_pm_l10,0.0005092172001192163,5.386210424166031e-05
player_avg_ast_l5,0.0003969937114672195,3.714090073528688e-05
points_momentum,0.0003688404562263381,3.820689241328583e-05
player_avg_reb_l5,0.0003234315548240607,5.966499981421119e-05
player_avg_tov_l10,0.0002422156731570757,2.5951752676792914e-05
off_environment,0.00022600889547309545,3.2473708744007946e-05
player_avg_reb_l10,0.00018514989659622615,2.7286193216881482e-05
team_off_rating,0.000152680507439662,2.8980581723953456e-05
is_playoff,8.05551618040079e-05,7.699644256982124e-06
usage_momentum,6.176438317825327e-05,1.1481199408554057e-05
ts_momentum,3.5242380353450733e-05,1.052960120663649e-05
is_home,2.673563796017353e-05,7.66745900294157e-06
player_avg_efg_l10,0.0,0.0
player_avg_oreb_pct_l10,0.0,0.0
player_avg_dreb_pct_l10,0.0,0.0
player_avg_ast_pct_l10,0.0,0.0
player_avg_net_rating_l10,0.0,0.0
player_avg_off_rating_l10,0.0,0.0
