feature,mean_value,std_value,pred_q1,pred_q2,pred_q3,pred_q4,range_impact,abs_range_impact
is_elimination,0.009,0.09444045743218316,113.48000412582141,,,102.79901201510408,-10.680992110717327,10.680992110717327
away_avg_points,114.3791,5.809279920093367,108.58941519396951,112.57010444274285,115.1349530697268,117.28772902137958,8.698313827410061,8.698313827410061
away_series_wins,0.043,0.28487014585596715,113.62013169620606,,,105.18239957545242,-8.437732120753637,8.437732120753637
combined_pace,99.411815,2.03784408892707,109.21758071179407,112.07983027864701,115.08428784878973,117.16525094633643,7.9476702345423575,7.9476702345423575
net_rating_diff,-0.19985999999999984,10.787818499604079,117.15812364807859,114.64963047371525,112.41290820591617,109.31483845958978,-7.843285188488807,7.843285188488807
series_pressure,0.088,0.5140583624453551,113.6469966542901,,,105.90813025825639,-7.738866396033714,7.738866396033714
home_series_wins,0.045,0.2982867747654931,113.56988077332656,,,106.41582013864908,-7.154060634677478,7.154060634677478
home_def_rating,114.40088,4.785737145477173,109.84402461111499,111.8894534782816,114.8342341422005,116.98457162108694,7.140547009971954,7.140547009971954
is_playoff,0.043,0.20285709255532575,113.68961048555568,,,106.57948749181818,-7.110122993737491,7.110122993737491
series_game_num,0.131,0.688359644372039,113.68961048555568,,,106.57948749181818,-7.110122993737491,7.110122993737491
away_off_rating,114.39188,5.021102654357905,110.15534844585082,112.38145444858081,114.34058547369793,116.6842279371354,6.5288794912845844,6.5288794912845844
series_wins_diff,0.002,0.27567372018384345,113.48600225684491,,,107.47852813802383,-6.007474118821079,6.007474118821079
away_fg_pct,0.47157960000000004,0.023870753734224648,110.4390562396073,112.7955123045652,114.1350154281128,116.1819908524971,5.742934612889798,5.742934612889798
home_win_pct,0.4957,0.21394277272205292,116.40269451274769,113.64754236651852,111.36153119700577,111.04068012904713,-5.362014383700554,5.362014383700554
away_win_pct,0.499,0.22004317758112837,110.76140563542633,113.49835484668694,114.47812183255898,115.95357944865088,5.1921738132245565,5.1921738132245565
home_q4_diff,-0.08936666666666668,2.7903432938716195,115.70952923334391,113.3414341715301,112.65240089827294,111.5607866157616,-4.1487426175823146,4.1487426175823146
q4_diff_spread,-0.0306888888888889,3.977243281221893,115.1575311236345,114.1227115413343,112.6797972454403,111.50684218653522,-3.650688937099275,3.650688937099275
away_q4_avg,27.5115,2.263439363004894,111.51949924782572,113.75366320570875,113.12551125137232,115.15366286895062,3.634163621124898,3.634163621124898
away_fg3_pct,0.36141549999999995,0.027289267666062423,112.2404307907016,112.18435297475601,113.80661252548893,115.30410449635329,3.063673705651695,3.063673705651695
away_q4_diff,-0.058677777777777766,2.748282427464672,111.82124526936772,114.1107966359203,113.6526304446802,114.07884105837799,2.257595789010267,2.257595789010267
home_off_rating,114.29059,4.983882016249983,114.46010913655411,114.00397919938145,112.83098872857306,112.24042372279122,-2.219685413762889,2.219685413762889
home_avg_points,114.128,5.72390565959992,112.48361447868696,113.27500781864487,113.57203779616894,114.22795896620032,1.7443444875133594,1.7443444875133594
home_fg3_pct,0.3606897,0.02873888870346242,114.02926275076868,113.11300895332272,113.7690463383895,112.61759528593957,-1.411667464829108,1.411667464829108
home_back_to_back,0.112,0.3153664535108324,113.26603904588417,,,114.31814753642688,1.0521084905427074,1.0521084905427074
away_def_rating,114.30230999999999,5.024075513355667,113.72087964853569,113.72933391462682,113.3690261126443,112.71629492855737,-1.0045847199783111,1.0045847199783111
