feature,importance,std
combined_pace,0.05257304320704241,0.003209639374392201
net_rating_diff,0.03865030268544817,0.0036512327502001563
away_avg_points,0.02404279479928758,0.004058509514951137
home_pace,0.01797111293242205,0.0014430301507213923
away_sim_off_rating,0.017258589368726162,0.001993694689196747
h2h_away_avg_score,0.016135634935298203,0.0014108898047722994
home_def_rating,0.014784976675499962,0.001142497834652544
away_proxy_avg_pts,0.007355631906242032,0.0012036773182123558
h2h_home_win_pct,0.0069724032794692085,0.0010351913876747443
home_q4_diff,0.006710893913155014,0.000878890432209748
away_playoff_elevation,0.005879939172205062,0.0004953497275939006
home_proxy_avg_pts,0.005761091691823028,0.0005095567798244688
away_off_rating,0.005522613883807992,0.001057193390277899
away_fg_pct,0.0050081860542427695,0.0006250253773757482
home_def_vs_away_style,0.004864031001258795,0.0005364106735812924
home_rest_days,0.004821510851778998,0.0007991447887883765
pace_differential,0.004710881037816861,0.0006750318601198395
away_away_avg_pts,0.004207169128338783,0.000720678881174457
variance_differential,0.003998542370527047,0.0004044426004893935
away_momentum,0.0038732062564655334,0.0004937954789278313
home_def_momentum,0.0038049999512005717,0.00034348258494494826
home_momentum,0.0036591184550031964,0.00045349100172855153
away_q4_avg,0.0034760588973126614,0.0003406546171010693
away_consistency,0.0033378824232359492,0.0004033522353431481
away_q4_diff,0.0028352282241064343,0.0003213807120832001
home_fg_pct,0.0027558784150035097,0.0003862877582639777
home_proxy_off_rating,0.002728887617679887,0.0003762419200357988
home_off_rating,0.0027277537574396994,0.0003463099501157773
h2h_home_avg_score,0.0027277095513566496,0.00041125233400748527
home_avg_points,0.002579304640950841,0.00027127759922431036
home_sim_off_rating,0.0025763253554854535,0.00033348009416027933
away_fg3_pct,0.002466546635921607,0.00035928162181991606
rest_advantage,0.0023278938377469306,0.0005298699627040873
q4_diff_spread,0.0022887686599180057,0.0004057805647594016
away_pace,0.0022402486645664577,0.00028652403065863787
home_off_vs_away_def,0.0022360887603043557,0.0003262156964538276
home_home_avg_pts,0.0021073329219100656,0.00035752215317034754
away_off_vs_home_def,0.0020595425854559534,0.0002310040774290754
away_proxy_off_rating,0.001987841848280425,0.0003013123573659985
away_def_momentum,0.0019332148868134503,0.00044212874634536547
series_game_num,0.0018339393898470836,0.00024939016628838453
home_fg3_pct,0.001829076105240035,0.000371609797647005
away_scoring_std,0.0017722305401161932,0.00014426528547820217
away_rest_days,0.0013929291722400094,0.00020617342391709203
away_back_to_back,0.001187708257084752,0.0002848290191850404
h2h_games_count,0.001136951854193624,0.00027290785282985537
clutch_diff,0.0010935365381041563,0.00024380326342429297
home_q4_avg,0.0010149633252484191,0.00017096105486589798
away_def_rating,0.0009366275563114868,0.00021822639729063845
home_consistency,0.0008918318930343672,0.0002007541536371546
home_scoring_std,0.0007343867668954673,0.00014874007231944694
away_def_vs_home_style,0.0006499047889412579,0.00010500133521733378
away_win_pct,0.00064248158862521,0.0002398359565968428
home_playoff_elevation,0.0005892358041031831,0.00010802805380720933
home_clutch,0.000577795381221946,0.00015641505697451904
home_win_pct,0.0004665021090643595,0.00017199252174046186
series_momentum,0.00046536931022763686,0.00014279872870153536
playoff_elevation_diff,0.00046002392560421377,9.321509539353925e-05
home_bad_night_pct,0.00038959245101441995,9.247598429529863e-05
home_back_to_back,0.00021342371352026657,8.666152114033721e-05
away_clutch,0.00020990388547312833,7.169798632080868e-05
away_bad_night_pct,0.00012073885000413176,3.8273162635609174e-05
is_playoff,0.00010242858442121028,3.9823465538762265e-05
home_series_wins,9.15899295805045e-05,6.728350790772383e-05
home_3pt_rate,0.0,0.0
series_pressure,0.0,0.0
away_3pt_rate,0.0,0.0
is_elimination,0.0,0.0
away_series_wins,0.0,0.0
home_3pt_matchup,0.0,0.0
away_3pt_matchup,0.0,0.0
away_def_style_edge,0.0,0.0
home_def_style_edge,0.0,0.0
series_wins_diff,0.0,0.0
has_vegas_odds,0.0,0.0
